Date,Time,Country,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,Odd_BTTS_No,Country_League,ROUND,Liga
19.08.2023,07:00,AUSTRALIA,NPL WESTERN AUSTRALIA - ROUND 21,Floreat Athena,Bayswater,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",AUSTRALIA - NPL WESTERN AUSTRALIA,NPL WESTERN AUSTRALIA,AUSTRALIA
19.08.2023,07:00,AUSTRALIA,NPL WESTERN AUSTRALIA - ROUND 21,Inglewood Utd,Cockburn City,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",AUSTRALIA - NPL WESTERN AUSTRALIA,NPL WESTERN AUSTRALIA,AUSTRALIA
19.08.2023,07:00,AUSTRALIA,NPL WESTERN AUSTRALIA - ROUND 21,Olympic Kingsway,Sorrento,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",AUSTRALIA - NPL WESTERN AUSTRALIA,NPL WESTERN AUSTRALIA,AUSTRALIA
19.08.2023,07:00,AUSTRALIA,NPL WESTERN AUSTRALIA - ROUND 21,Perth Glory U21,Perth RedStar,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",AUSTRALIA - NPL WESTERN AUSTRALIA,NPL WESTERN AUSTRALIA,AUSTRALIA
19.08.2023,07:00,AUSTRALIA,NPL WESTERN AUSTRALIA - ROUND 21,Stirling Macedonia,Perth SC,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",AUSTRALIA - NPL WESTERN AUSTRALIA,NPL WESTERN AUSTRALIA,AUSTRALIA
19.08.2023,15:00,AUSTRIA,BUNDESLIGA - ROUND 4,A. Lustenau,Sturm Graz,6,"4,5","1,5","1,53","2,4","1,67","2,1",AUSTRIA - BUNDESLIGA,BUNDESLIGA,AUSTRIA
19.08.2023,15:00,AUSTRIA,BUNDESLIGA - ROUND 4,Tirol,LASK,5,4,"1,67","1,53","2,4","1,53","2,38",AUSTRIA - BUNDESLIGA,BUNDESLIGA,AUSTRIA
19.08.2023,17:30,AUSTRIA,BUNDESLIGA - ROUND 4,A. Klagenfurt,Altach,"1,75","3,75","4,33","1,7","2,1","1,67","2,1",AUSTRIA - BUNDESLIGA,BUNDESLIGA,AUSTRIA
19.08.2023,12:30,AUSTRIA,2. LIGA - ROUND 4,Dornbirn,Admira,"1,75","3,75","4,33","1,7","2,1","1,67","2,1",AUSTRIA - 2. LIGA,2. LIGA,AUSTRIA
19.08.2023,14:00,AZERBAIJAN,PREMIER LEAGUE - ROUND 3,Gabala,Sumqayit,"1,75","3,75","4,33","1,7","2,1","1,67","2,1",AZERBAIJAN - PREMIER LEAGUE,PREMIER LEAGUE,AZERBAIJAN
19.08.2023,16:00,AZERBAIJAN,PREMIER LEAGUE - ROUND 3,Sabail,Zira,"1,75","3,75","4,33","1,7","2,1","1,67","2,1",AZERBAIJAN - PREMIER LEAGUE,PREMIER LEAGUE,AZERBAIJAN
19.08.2023,13:00,BELARUS,VYSSHAYA LIGA - ROUND 18,Isloch,Smorgon,"1,75","3,75","4,33","1,7","2,1","1,67","2,1",BELARUS - VYSSHAYA LIGA,VYSSHAYA LIGA,BELARUS
19.08.2023,15:00,BELARUS,VYSSHAYA LIGA - ROUND 18,Zhodino,Belshina,"1,75","3,75","4,33","1,7","2,1","1,67","2,1",BELARUS - VYSSHAYA LIGA,VYSSHAYA LIGA,BELARUS
19.08.2023,14:00,BELARUS,PERSHAYA LIGA - ROUND 20,Ostrovets,Maxline,"1,75","3,75","4,33","1,7","2,1","1,67","2,1",BELARUS - PERSHAYA LIGA,PERSHAYA LIGA,BELARUS
19.08.2023,14:00,BELGIUM,JUPILER PRO LEAGUE - ROUND 4,St. Liege,Cercle Brugge KSV,"2,9","3,4","2,38","1,7","2,1","1,62","2,2",BELGIUM - JUPILER PRO LEAGUE,JUPILER PRO LEAGUE,BELGIUM
19.08.2023,18:45,BELGIUM,JUPILER PRO LEAGUE - ROUND 4,KV Mechelen,Royale Union SG,"4,75","3,8","1,7","1,62","2,25","1,62","2,2",BELGIUM - JUPILER PRO LEAGUE,JUPILER PRO LEAGUE,BELGIUM
19.08.2023,14:00,BELGIUM,CHALLENGER PRO LEAGUE - ROUND 2,Beerschot VA,Waregem,"2,5","3,25","2,5","1,6","2,3","1,5","2,5",BELGIUM - CHALLENGER PRO LEAGUE,CHALLENGER PRO LEAGUE,BELGIUM
19.08.2023,18:00,BELGIUM,CHALLENGER PRO LEAGUE - ROUND 2,Beveren,Seraing,"1,75","3,6",4,"1,67","2,15","1,67","2,1",BELGIUM - CHALLENGER PRO LEAGUE,CHALLENGER PRO LEAGUE,BELGIUM
19.08.2023,18:00,BELGIUM,CHALLENGER PRO LEAGUE - ROUND 2,Deinze,Oostende,"2,55","3,4","2,3","1,7","2,1","1,57","2,25",BELGIUM - CHALLENGER PRO LEAGUE,CHALLENGER PRO LEAGUE,BELGIUM
